"filename", "language", "Markdown", "YAML", "Groovy", "Properties", "Dart", "JSON", "Swift", "C++", "XML", "comment", "blank", "total"
"d:\Code\Flutter\signali\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Code\Flutter\signali\android\app\build.gradle", "Groovy", 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 12, 68
"d:\Code\Flutter\signali\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"d:\Code\Flutter\signali\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"d:\Code\Flutter\signali\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 11, 1, 48
"d:\Code\Flutter\signali\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\Code\Flutter\signali\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\Code\Flutter\signali\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"d:\Code\Flutter\signali\android\build.gradle", "Groovy", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Code\Flutter\signali\android\gradle.properties", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Code\Flutter\signali\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Code\Flutter\signali\android\settings.gradle", "Groovy", 0, 0, 12, 0, 0, 0, 0, 0, 0, 11, 8, 31
"d:\Code\Flutter\signali\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"d:\Code\Flutter\signali\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Code\Flutter\signali\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Code\Flutter\signali\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Code\Flutter\signali\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"d:\Code\Flutter\signali\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\Code\Flutter\signali\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Code\Flutter\signali\lib\components\alert_widget.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 3, 43
"d:\Code\Flutter\signali\lib\components\drawer.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Code\Flutter\signali\lib\main.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\Code\Flutter\signali\lib\models\user.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 9, 33
"d:\Code\Flutter\signali\lib\models\user.g.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
"d:\Code\Flutter\signali\lib\routes\routes.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\Code\Flutter\signali\lib\screens\home\home_page.dart", "Dart", 0, 0, 0, 0, 75, 0, 0, 0, 0, 3, 7, 85
"d:\Code\Flutter\signali\lib\screens\login\login_page.dart", "Dart", 0, 0, 0, 0, 189, 0, 0, 0, 0, 10, 9, 208
"d:\Code\Flutter\signali\lib\screens\signale\signale_page.dart", "Dart", 0, 0, 0, 0, 135, 0, 0, 0, 0, 7, 7, 149
"d:\Code\Flutter\signali\lib\screens\signale\widgets\choice_question.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"d:\Code\Flutter\signali\lib\screens\signale\widgets\multiple_choice.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"d:\Code\Flutter\signali\lib\screens\signale\widgets\open_question.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\Code\Flutter\signali\lib\screens\userinfo\userinfo_page.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 4, 96
"d:\Code\Flutter\signali\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 9, 85
"d:\Code\Flutter\signali\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 7, 7, 93
"d:\Code\Flutter\signali\lib\validator\validator.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 3, 25
"d:\Code\Flutter\signali\pubspec.yaml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 39, 13, 81
"d:\Code\Flutter\signali\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"Total", "-", 13, 29, 93, 9, 928, 193, 14, 1, 118, 158, 157, 1713
